====================
0,GLOBAL,welcome.js,displayWelcome,name
1,GLOBAL,displayWelcome,printGreeting
~~~~~~~~~~~~~~~~~~~~
0,GLOBAL,verifyLoginInfo,Py_Initialize
1,GLOBAL,verifyLoginInfo,verifyAccount.py
2,GLOBAL,verifyLoginInfo,Py_Finalize
3,GLOBAL,login.cpp,retrievePassWord
4,GLOBAL,login.cpp,retrieveUserName
5,GLOBAL,login.cpp,verifyLoginInfo,password,username
--------------------
0,GLOBAL,printWelcome,open,<welcome.js>
1,GLOBAL,printWelcome,OBJ.read
2,GLOBAL,printWelcome,OBJ.JSContext
3,GLOBAL,printWelcome,welcome.js
4,GLOBAL,verifyAccount.py,checkDb,username,password
5,GLOBAL,verifyAccount.py,printWelcome
6,GLOBAL,verifyAccount.py,printError
